Abbreviation,Meaning,Example
ከም/ጠ/ሚኒስትር,ከምክትል ጠቅላይ ሚኒስቴር,ትናንት ከእነአቶ አባተ ኪሾ ጋር ክስ የተመሰረተባቸው አቶ ኃይሉ የቀድሞው መከላከያና ም/ጠቅላይ ሚኒስትር ከ3 ዓመት በፊት ክስ በቀረበባቸው ወቅት ከእሳቸው ጋር የተከሰሱና በኋላም ተፈርዶባቸው ወህኒ እንደሚገኙ ይታወቃል። በተባበሩት መንግሥታት ድርጅት የኢትዮጵያ ቋሚ መልዕክተኛ የነበሩት የአምባሳደር ዱሪ መሀመድ ልጅ አቶ ሙኒር ዱሪ በእነአባተ ኪሾ መዝገብ ክስ ከቀረበባቸው መካከል አንዱ ሲሆኑ ከዚህ ቀደምም ከም/ጠ/ሚኒስትር ታምራት ላይኔን ከወ/ሮ ሻዕዲያ ናዲም ጋር ተከሰው የታሰሩና ፍርድ ሲሰጥም የታሰሩበት 3 ዓመት በቂ ሆኖ ከወህኒ መውጣታቸው ይታወቃል። ከወህኒ ከወጡ በኋላ ከአገር መውጣታቸውን አንዳንድ ወገኖች የሚገልፁ ሲሆኑ በትናትናው ዕለትም ፍ/ቤት አለመቅረባቸው ታውቋል።
ከቀኛ/ዝማች,ከቀኝአዝማች,በመጪው ምርጫ ይሣተፋሉ ተብለው ከሚጠበቁት የተቃዋሚ ድርጅቶች መሀል የመላው አማራና የአማራጭ ኃይሎች ም/ቤት የሚጠቀሱ ናቸው። አርብ ምሽት የተላለፈው የአሜሪካ ድምፅ አማርኛው በፕሮግራም ከመአህድ ሊ/መንበር ከቀኛ/ዝማች ነቅዓጥበብ፣ ከአማራጭ ኃይሎች ም/ሊ/መንበር ከአቶ ክፍሌ ጥግነህ እና ከኦሮሞ ብሔራዊ ኮንግረስ ሊ/መንበር መራራ ጉዲና ጋር ያደረገውን ውይይት አቅርቧል።
ከቅ/ማርያም,ከቅድስት ማርያም,በቅድስት ማርያም ቤተክርስቲያን ተጠልለው የነበሩት ተማርዎች በፖሊስ ኃይል ተገደው ወደአራት ኪሎ ካምፓስ ከተወሰዱ በኋላ ከምሽቱ 5 ሰዓት ገደማ ወደ ሰንዳፋ የፖሊስ ማሰልጠኛ መወሰዳቸውን ዘግበናል። ከቅ/ማርያም ቤ/ክ የተወሰዱትን ጨምሮ የህንፃ ኮሌጅ ተማሪዎች ህክምና ሳይንስ ፋክልቲ የህንፃ ኮሌጅ ተማሪዎችና ሌሎች በየቦታው የተያዙ ሰዎች በተሰባሰቡበት በሰንዳፋው ካምፕ የነበረው ቆይታ ይህን ይመስላል። በሰንዳፋ የቆዩትና ሪፖርተር ጋዜጣ ያነጋገራቸው የአ/አ/ዩ ተማሪዎች ማንነታቸው እንዳይገለጽ ባቀረቡት ጥያቄ መሰረት ማንነታቸውን አልገለጽንም።
ከነዶ/ር,ከነዶክተር, ለመጀመሪያ ጊዜ ጠ/ሚ/ር መለስ በጽ/ቤታቸው ከነዶ/ር በየነ ጋር ተወያዩ
ከአ/አበባ,ከአዲስ አበባ,1- ኮሎኔል አበበ ውብሸት ፦ከአ/አበባ
ከኮ/ል,ከኮሎኔል,በኢትዮጵያ ዲሞክራሲያዊ ሃይሎች ህብረት/ኢዴህሕ/ ውስጥ የዋና ፀሐፊነት ሃላፊነትን ያገኙት ዶክተር አድማሱ ገበየሁ ሕብረቱን በመሰረተው ሁሉን አቀፍ የፓርቲዎች ጉባኤ ላይ ባለመሣተፋቸውና እንዲሣተፉ ባለመደረጋቸው በአሜሪካ ባሉ የሬዲዮ ጣቢያዎች አፍራሽ ፕሮፖጋንዳ ሲያካሂዱ ከነበሩት ከኮ/ል ጐሹ ወልዴ ከሚመራው የመድህን ፓርቲ ጋር ለመዋሀድ መስማማታቸውን በብዙዎች ተመልካቾች ዘንድ ትዝብትን ገረሜታን አሳድሯል።
ከወ/ሮ,ከወይዘሮ,ትናንት ከእነአቶ አባተ ኪሾ ጋር ክስ የተመሰረተባቸው አቶ ኃይሉ የቀድሞው መከላከያና ም/ጠቅላይ ሚኒስትር ከ3 ዓመት በፊት ክስ በቀረበባቸው ወቅት ከእሳቸው ጋር የተከሰሱና በኋላም ተፈርዶባቸው ወህኒ እንደሚገኙ ይታወቃል። በተባበሩት መንግሥታት ድርጅት የኢትዮጵያ ቋሚ መልዕክተኛ የነበሩት የአምባሳደር ዱሪ መሀመድ ልጅ አቶ ሙኒር ዱሪ በእነአባተ ኪሾ መዝገብ ክስ ከቀረበባቸው መካከል አንዱ ሲሆኑ ከዚህ ቀደምም ከም/ጠ/ሚኒስትር ታምራት ላይኔን ከወ/ሮ ሻዕዲያ ናዲም ጋር ተከሰው የታሰሩና ፍርድ ሲሰጥም የታሰሩበት 3 ዓመት በቂ ሆኖ ከወህኒ መውጣታቸው ይታወቃል። ከወህኒ ከወጡ በኋላ ከአገር መውጣታቸውን አንዳንድ ወገኖች የሚገልፁ ሲሆኑ በትናትናው ዕለትም ፍ/ቤት አለመቅረባቸው ታውቋል።
ከው/ጉ/ሚ,ከውጭ ጉዳይ ሚኒስትር,የአውሮፓ ሕብረት ልዑካን መሪ ጣሊያናዊው ሬኖ ሰሪ የድንበር ግጭቱ ወደሙሉ ጦርነት እንዳያመራ ያሳሰቡ ሲሆን የአሜሪካው ልዑክ አንቶኒ ሌክና ልዩ ልዑክ አህመድ ያህያ ከትናንት በስቲያ ከጠ/ሚ መለስ ዜናዊ ጋር ተወያይተዋል። ትናንት ደግሞ ከው/ጉ/ሚ ስዩም መስፍን ጋር የተወያዩ ሲሆን ውይይቱም ተሻሽሎ ቀርቧል በተባለው የአአድ የቴክኒክ ማስፈፀሚያ ሰነድ ላይ ነው።
ከው/ጉ/ሚ/ር,ከውጭ ጉዳይ ሚኒስትር,እንደ እነዚህ ምንጮች አገላለጽ ከሆነ የአልጄሪያው ዲፕሎማት በወቅቱ ጉዳይ ዙሪያም መወያየታቸው ታውቋል። ሚስተር ኦህአያ በአ/አበባ ቆይታቸው ከጠ/ሚ/መለስ ዜናዊ ከው/ጉ/ሚ/ር ስዩም መስፍን ጋር ሰፊ ውይይት እንዳደረጉ ተያይዞ የደረሰን ዘገባ ያመልክታል። ኢትዮጵያ ባለፈው ሳምንት ባወጣችው መግለጫ መሠረት የቴክኒካል ዝርዝር ሃሳብ «የመጨረሻው እና ወሳኝ ደረጃ ላይ ደርሷል» ስትል ገልፃለች። ይህ የሰላም ሃሳቡ በሃሳብ ደረጃ ለሁለቱም ወገኖች ዘንድ ተቀባይነት ያገኘ ቢሆንም በአቋም በኩል የተለያዩ አመለካከት አላቸው።
ከዶ/ር,ከዶክተር,እንደራሴው ወደ ኢትዮጵያ ያቀኑት ከአፍሪካ መንግሥታት ልዑካን፣ ከግሉ ክፍለ ኢኮኖሚና ከመንግሥት ባለሥልጣናት ጋር ለመነጋገር ነው። በዚህ የኢትዮጵያ ቆይታቸው ጠ/ሚ/ር መለስ ዜናዊን፣ የንግዱ ኅብረተሰብ ተወካዮችን፣ የተወካዮች ም/ቤት አባላትን፣ የአሜሪካንና የኢትዮጵያን የግል ክፍለ ኢኮኖሚ መሪዎችን እንዲሁም ከአፍርካ አንድነት ድርጅት ዋና ፅሐፊ ከዶ/ር ሳሊም አህመድ ሳሊም እና ከአፍሪካ ኢኮኖሚክስ ኮሚሽን ፀሐፊ ዶ/ር ኬዋይ አሞዋኮን አነጋግረዋል።
ከጠ/ሚ,ከጠቅላይ ሚኒስትር,የአውሮፓ ሕብረት ልዑካን መሪ ጣሊያናዊው ሬኖ ሰሪ የድንበር ግጭቱ ወደሙሉ ጦርነት እንዳያመራ ያሳሰቡ ሲሆን የአሜሪካው ልዑክ አንቶኒ ሌክና ልዩ ልዑክ አህመድ ያህያ ከትናንት በስቲያ ከጠ/ሚ መለስ ዜናዊ ጋር ተወያይተዋል። ትናንት ደግሞ ከው/ጉ/ሚ ስዩም መስፍን ጋር የተወያዩ ሲሆን ውይይቱም ተሻሽሎ ቀርቧል በተባለው የአአድ የቴክኒክ ማስፈፀሚያ ሰነድ ላይ ነው።
ከጠ/ሚ/ልዩ,ከጠቅላይ ሚኒስትር ልዩ,"ከጠ/ሚ/ልዩ ጽ/ቤት የወጣው ደብዳቤ በራእዩ መሰረት በፖለቲካው መስክ ኢትዮጵያ ""በሃይማኖቶች መካከል እኩልነት የተረጋገጠባት፣ የሕዝብ ተከባበሮና ተቻችሎ የመኖር ባህል ዳብሮ የማይናወጥበት ደረጃ ላይ የደረሰባት አጋር ትሆናለች"" በተጨማሪም ""በወንዶችና በሴቶች መካከል እኩልነት የሰፈነባት፣ የሴቶች ሁለንተናዊ ተሳትፎ ከፍተኛ ደረጃ ላይ የደረሰባት አገር ትሆናለች"" ብሏል።"
ከጠ/ሚ/መለስ,ከጠቅላይ ሚኒስትር መለስ,እንደ እነዚህ ምንጮች አገላለጽ ከሆነ የአልጄሪያው ዲፕሎማት በወቅቱ ጉዳይ ዙሪያም መወያየታቸው ታውቋል። ሚስተር ኦህአያ በአ/አበባ ቆይታቸው ከጠ/ሚ/መለስ ዜናዊ ከው/ጉ/ሚ/ር ስዩም መስፍን ጋር ሰፊ ውይይት እንዳደረጉ ተያይዞ የደረሰን ዘገባ ያመልክታል። ኢትዮጵያ ባለፈው ሳምንት ባወጣችው መግለጫ መሠረት የቴክኒካል ዝርዝር ሃሳብ «የመጨረሻው እና ወሳኝ ደረጃ ላይ ደርሷል» ስትል ገልፃለች። ይህ የሰላም ሃሳቡ በሃሳብ ደረጃ ለሁለቱም ወገኖች ዘንድ ተቀባይነት ያገኘ ቢሆንም በአቋም በኩል የተለያዩ አመለካከት አላቸው።
ከጠ/ሚ/ሩ,ከጠቅላይ ሚኒስትሩ,የአዲስ አበባ ዩኒቨርስቲ ተማሪዎች በስማችን እየተነገደ ነው ሲሉ ቅሬታቸውን ገለፁ፤ ከጠ/ሚ/ሩ ጋር የተወያዩት በፓርቲ አባልነት የተቃፉ ጥቂት የዩኒቨርስቲ ተማሪዎች ከተለያዩ ሁለተኛ ደረጃ ት/ቤቶች የተመለመሉ፣ እንዲሁም በስራ ፈትነት የተቀመጡ ወጣቶች መሆናቸውን የአዲስ አበባ ዩኒቨርስቲ ተማሪዎች ገልፀዋል።
ከጠ/ሚ/ር,ከጠቅላይ ሚኒስትር,ባለፈው ሰኔ 15 ቀን 1993 ዓ.ም ከኢህአዴግ ም/ቤት ስብሰባ ዶ/ር ነጋሶ ጊዳዳ ረግጠው ከወጡ በኋላ የማዕከላዊ ኮሚቴ አባላቱ በዶክተሩ ላይ የሰጡት አስተያየት ካድሬዎችን እንዳስቆጣቸውና ተናጋሪዎቹ ከጠ/ሚ/ር መለስ ጐን በመቆም የኦሮሞን ሕዝብ ጥቅም አሳልፈው ሰጥተዋል በሚል እንዳስወነጀላቸው ተጠቁሟል።
ከጠ/ሚ/ርነት,ከጠቅላይ ሚኒስትርነት,ዛሬ ሁኔታዎች ተለውጠው ከጠ/ሚ/ርነት ወንበር በአስደናቂ ፍጥነት ወህኒ የወረዱትን አቶ ታምራት ላይኔንም አደርባይ ሲሉ አቶ መላኩ ዘልፈዋል። ጋዜጣው በስም ጠቅሶ ጥያቄ ያነሣባቸውን የሥርዓቱ ተቃዋሚ የሆኑ ሰዎችን በማንጓጠጥ፣ በመዘለፍና በመሳደብ አስተያየት ሰጥተዋል። ይህንን ሁሉ ዘለፋና ስድብ ለተቃዋሚዎችና ምሁራን ካዳረሱ በኋላ በሐገሪቱ ውስጥ እንደ ችግር አድርገው የጠቀሱት በኦሮሚያ ክልል በዜጐች ላይ የደረሰውን ፍጅት፣ በአዋሳ የደረሰውን ዕልቂት፣ የሐገሪቱን ካዝና እያራቆተስላለው ሙስና ወይንም አያሌዎች መስዋዕትነትና የከፈሉበት ባድመ ወደ ኤርትራ ስለመካለሉ አይደለም። አቶ መላኩ የሐገሪቱ ትልቅ ችግር ሲሉ የተናገሩት የሚከተለውን ነው፦
ከጠ/ሚኒስትር,ከጠቅላይ ሚኒስትር,በቅርቡ ከጠ/ሚኒስትር መለስ ጋር ስላደረጉት ውይይት እንደተናገሩት የውይይቱ ዋነኛ ርዕስ የመገናኛ ብዙኃንን አጠቃቀም በተመለከተ ቀደም ሲል ከኢህአዴግ ተወካዮች ጋር ሲደረግ የቆየ ቀጣይ ውይይት እንደነበር አውስተው ነገር ግን በአውሮፓ ኅብረት ልዑክ አማካይነት ጠ/ሚ/ር መለስን ማነጋገር እንደሚቻል በተደረገ ድንገተኛ ቀጠሮ ውይይቱ መካሄዱንና በመሀሉ ደግሞ ከምርጫው ውጤት ጋር በተያያዘ ሰፋ ያለ ጉዳይ እንደተነሳ አብራርተዋል።
ከጠ/ሚንስትሩ,ከጠቅላይ ሚኒስትሩ ,ቅንጅት ለአንድነትና ለዴሞክራሲ እና የኢትዮጵያ ዴሞክራሲያዊ ኃይሎች ህብረት ከትናንት በስቲያ፣ እሁድ 22/1/98 ዓ.ም ከጠ/ሚንስትሩ ጋር በቤተመንግሥት ተገናኝተው መነጋገራቸው ተዘግቧል።
ከጠ/ም/ቤት,ከጠቅላይ ምክር ቤት ,በመሆኑም የወረዳ 9 የምርጫ ሂደት የእስልምና ጉዳዮች ም/ቤት ምርጫ አፈፃፀም መመሪያን ያልተከተለ ስለሆነ ምርጫው ተሰርዞ እንደገና ምርጫ እንዲካሄድ ተወስኗል። የጠ/ም/ቤት ዋና ፀሐፊው አቶ አብዱራዛቅ መሐመድ በዚህ የምርጫ ሂደት ከወረዳ 9 ወደ አዲስ አበባ እስልምና ጉዳዮች ግብሎም ወደኢትዮጵያ እስልምና ጉዳዮች ጠ/ም/ቤት የመጡት ተገቢ ባልሆነ መንገድ በመሆኑ ከጠ/ም/ቤት ፀሐፊነታቸው ተነስተው ከየካቲት 3/93 ጀምሮ የአዲስ አበባ ተወካይ ብቻ ሆነው እንዲሰሩ መደረጋቸውን የአዲስ አበባ ም/ቤት ፀሐፊ አቶ ሸምሰዲን መሐመድ ሐሰን አስታውቀዋል።
ከፌ/ፖ/ወንጀል,ከፌደራል ፖሊስ ወንጀል,"የፌደራል ፖሊስ ኮሚሽን ሪፓርተር ቀደም ሲል ያሰፈረውን ዘገባ ጠቅሶ ግለሰቡ በቁጥጥር ስር አድርጎት የነበረው የፌደራል ፖሊስ ወንጀል ምርመራ መምሪያ ሳይሆን አዲስ አበባ ፖሊስ መሆኑን ፤ ስለግለሰቡ አሟሟት ""ከፌ/ፖ/ወንጀል ምርመር ለማጣራት ያደረገው ሙከራ አልተሳካም"" የሚለው ዝግጅት ክፍሉ ለማጣራት የሞከረው ፌ/ፖ በጉዳዩ በሌለበት እንደሆነና ""... አሟሟታቸው እንቆቅልሽ እንደሆነባቸው ተናግረዋል"" የተባለው የተለየ እንቆቅልሽ እንደሌለው እንዲታወቅለት ጠይቋል።"
ከፍ/ቤቱ,ከፍርድ ቤቱ,ከሳሽ ያቀረቡትን የክስ ማመልከቻ ከፍ/ቤቱ መጥሪያ ጋር ለአ.አ ማረሚያ ቤት ደርሶት እስረኞቹን በአካል ይዞ በመቅረብ የማይፈታበት ሕጋዊ ምክንያት ካለው እንዲያስረዳ በ12/2/94 ዓ.ም ትዕዛዝ ተሰጥቷል። ከሳሽ የፍ/ቤቱን ትዕዛዝ ለተጠሪ ማድረሳቸውን የሚያረጋግጥ ማስረጃ አቅርበዋል። በተጨማሪም የአ.አ ማረሚያ ቤት እስረኞቹን በአጃቢ ፖሊስ ገብረአብ ብርሃኔ አማካኝነት ዛሬ በቀጠሮው ሰዓት ያቀረባቸው ሲሆን የማ/ቤቱ ተወካይ ወታደር በላይነሽ አዳም ቀርበው ግለሰቦቹ ለምን እንደታሰሩ እና የማይፈቱበት ምክንያት ምን እንደሆነ ማስረዳት አልችልም ብለዋል።
ከፍ/ቤት,ከፍርድ ቤት,በከሣሽ የቀርበው ክስ የተከሣሽ አስተዳደራዊ ውሣኔ እንዲከለስ የሚጠይቅ ነው። የአስተዳደራዊ ውሣኔ ክለሣ (administrative review) ክስ መቅረብ የሚችለው ከፍ/ቤቱ ውጪ ያሉ የቅሬታ ማቅረቢያ እድሎችን ከሣሽ አሟጦ ከተጠቀመ በኋላ ነው በሀገራችን ሕጐች ውስጥ እንደ እስረኛ ተፈፀመብኝ የሚለውን በደል ማቅረብ የሚችልበት ከፍ/ቤት ውጪ ያለ የዳኝነት ሰጪ አካል የለም። ተከሳሽን ባቋቋመው አ/ቁ365/95 ላይም እስረኞች ቅሬታ የሚያቀርቡለት ልዩ የዳኝነት አካል የለም። ይህ ፍ/ቤት የሚቀርቡለትን ክሶች በሌላ አካል መታየት ያለባቸው ናቸው ብሎ መመለስ የሚችለው በሕግ ለሌለ የዳኝነት አካል የተሰጠን ጉዳይ ነው። ከሣሽ ያቀረቡትን ክስ ለማየት የተቋቋመ የዳኝነት አካል የለም። እንዲሁም የተከሣሽ ወኪል በችሎት ቀርበው ስለጉዳዩ አናውቅም ነበር። ቢሉም ክሱ ድረሷቸው መልስ እስኪሰጡ ድረስ 14 ቀናት ጊዜ ነበራቸው ይህ ጊዜ ደግሞ ቃሊቲ ማረሚያ ቤት የሚገኙትን የከሣሽን የአስተሳሰር ሁኔታ ለማጣራትና የመጨረሻ ውሣኔ ለመስጠት በቂ ጊዜ ነው። ተከሣሽ ግን እነዚህ 14 ቀናት በዝምታ እንደሰጠ ያስቆጥረዋል። በመሆኑም ከላይ በተብራሩት ምክንያቶች ተከሣሽ ያቀረበውን መቃወሚያ ፍ/ቤቱ ውድቅ አድጐታል።
ከፍ/ፍ/ቤት,ከፍተኛ ፍርድ ቤት,ታዲያ ያን ሁሉ ጉዱጉድ የተሸከመውን ሪፖርት ከሁሉም በፊት ቀድመው የተረከቡት ዋና ሥራ አስኪያጁ ደግሞ የግል ጋዜጦችን ለመወረፍ ይዱዱቸው ይሆን? በተለያዩ ጋዜጦች ላቀረቡብን ውንጀላዎችና ትችቶች ያንን ያህል ተከታትለን ፍ/ቤት የቀረብንበት ጊዜ የለም። ያሉት ዋና ሥራ ቤተ-ክህነት ለክስ የሚቀድማት የሌላት መሆኑን ለማስረዱት ያህል የፊያሜታ ዋና አዘጋጅ ሚያዝያ 4 ቀን 1991 በፌዴራል ከፍ/ፍ/ቤት 1ኛ ችሎት በቤተ-ክህነት ተከሶ የሚቀርብ መሆኑን ለምሳሌ ያህል ሊጠቀስላቸው ይገባል።
